run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,runattr,,,configname,RandomAccelerationInjectionNoGui,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,runattr,,,datetime,20200606-17:24:26,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,runattr,,,experiment,RandomAccelerationInjectionNoGui,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,runattr,,,inifile,omnetpp.ini,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,runattr,,,iterationvars,"$leaderSpeed=100, $attackStart=10, $nCars=8, $platoonSize=8, $nLanes=1, $controller=3, $sController=""FLATBED"", $spacing=10, $headway=0, $leaderHeadway=2, $radar=false, $beaconInterval=0.1, $priority=4, $packetSize=200",,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,runattr,,,iterationvarsf,"leaderSpeed=100,attackStart=10,nCars=8,platoonSize=8,nLanes=1,controller=3,sController=FLATBED,spacing=10,headway=0,leaderHeadway=2,radar=false,beaconInterval=0.1,priority=4,packetSize=200-",,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,runattr,,,measurement,"$leaderSpeed=100, $attackStart=10, $nCars=8, $platoonSize=8, $nLanes=1, $controller=3, $sController=""FLATBED"", $spacing=10, $headway=0, $leaderHeadway=2, $radar=false, $beaconInterval=0.1, $priority=4, $packetSize=200",,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,runattr,,,network,Highway,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,runattr,,,processid,8507,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,runattr,,,repetition,0,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,runattr,,,replication,#0,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,runattr,,,resultdir,results,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,runattr,,,runnumber,4,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,runattr,,,seedset,0,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,itervar,,,attackStart,10,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,itervar,,,beaconInterval,0.1,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,itervar,,,controller,3,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,itervar,,,headway,0,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,itervar,,,leaderHeadway,2,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,itervar,,,leaderSpeed,100,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,itervar,,,nCars,8,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,itervar,,,nLanes,1,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,itervar,,,packetSize,200,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,itervar,,,platoonSize,8,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,itervar,,,priority,4,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,itervar,,,radar,false,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,itervar,,,sController,"""FLATBED""",,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,itervar,,,spacing,10,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,param,,,*.node[*].scenario_type,"""RandomScenario""",,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,param,,,*.node[*].scenario.avgSpeed,100kmph,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,param,,,*.node[*].scenario.maxSpeed,150kmph,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,param,,,**.traffic.platoonInsertSpeed,100kmph,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,param,,,*.node[*].scenario.startTime,5s,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,param,,,*.node[*].scenario.accelerationProbability,0.2,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,param,,,*.node[*].scenario.decelerationProbability,0.2,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,param,,,*.node[*].scenario.avgAcceleration,0.50mpsps,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,param,,,*.node[*].scenario.avgDeceleration,0.75mpsps,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,param,,,*.node[*].scenario.minStepDuration,0.5s,,,
RandomAccelerationInjectionNoGui-4-20200606-17:24:26-8507,param,,,*.node[*].scenario.meanStepDuration,2s,,,
