v9,v8,v7,v6,v5,v4,v3,v2,v1,v0,Detection
0.2101,0.4146944,0.7200679,0.6264329,0.6582498,0.495292,0.5431391,0.454256,0.4941062,0.4386734,0.0
0.4146944,0.7200679,0.6264329,0.6582498,0.495292,0.5431391,0.454256,0.4941062,0.4386734,0.4587954,0.0
0.7200679,0.6264329,0.6582498,0.495292,0.5431391,0.454256,0.4941062,0.4386734,0.4587954,0.4786772,0.0
0.6264329,0.6582498,0.495292,0.5431391,0.454256,0.4941062,0.4386734,0.4587954,0.4786772,0.4857205,0.0
0.6582498,0.495292,0.5431391,0.454256,0.4941062,0.4386734,0.4587954,0.4786772,0.4857205,0.5160699,0.0
0.495292,0.5431391,0.454256,0.4941062,0.4386734,0.4587954,0.4786772,0.4857205,0.5160699,0.5400362,0.0
0.5431391,0.454256,0.4941062,0.4386734,0.4587954,0.4786772,0.4857205,0.5160699,0.5400362,0.5591655,0.0
0.454256,0.4941062,0.4386734,0.4587954,0.4786772,0.4857205,0.5160699,0.5400362,0.5591655,0.5544735,0.0
0.4941062,0.4386734,0.4587954,0.4786772,0.4857205,0.5160699,0.5400362,0.5591655,0.5544735,0.6528776,0.0
0.4386734,0.4587954,0.4786772,0.4857205,0.5160699,0.5400362,0.5591655,0.5544735,0.6528776,0.6252103,0.0
0.4587954,0.4786772,0.4857205,0.5160699,0.5400362,0.5591655,0.5544735,0.6528776,0.6252103,0.6592526,0.0
0.4786772,0.4857205,0.5160699,0.5400362,0.5591655,0.5544735,0.6528776,0.6252103,0.6592526,0.6123687,0.0
0.4857205,0.5160699,0.5400362,0.5591655,0.5544735,0.6528776,0.6252103,0.6592526,0.6123687,0.620053,0.0
0.5160699,0.5400362,0.5591655,0.5544735,0.6528776,0.6252103,0.6592526,0.6123687,0.620053,0.6716812,0.0
0.5400362,0.5591655,0.5544735,0.6528776,0.6252103,0.6592526,0.6123687,0.620053,0.6716812,0.7316978,0.0
0.5591655,0.5544735,0.6528776,0.6252103,0.6592526,0.6123687,0.620053,0.6716812,0.7316978,0.7426548,0.0
0.5544735,0.6528776,0.6252103,0.6592526,0.6123687,0.620053,0.6716812,0.7316978,0.7426548,0.7632772,0.0
0.6528776,0.6252103,0.6592526,0.6123687,0.620053,0.6716812,0.7316978,0.7426548,0.7632772,0.7427549,0.0
0.6252103,0.6592526,0.6123687,0.620053,0.6716812,0.7316978,0.7426548,0.7632772,0.7427549,0.7952195,0.0
0.6592526,0.6123687,0.620053,0.6716812,0.7316978,0.7426548,0.7632772,0.7427549,0.7952195,0.8053454,0.0
0.6123687,0.620053,0.6716812,0.7316978,0.7426548,0.7632772,0.7427549,0.7952195,0.8053454,0.8060012,0.0
0.620053,0.6716812,0.7316978,0.7426548,0.7632772,0.7427549,0.7952195,0.8053454,0.8060012,0.7563196,0.0
0.6716812,0.7316978,0.7426548,0.7632772,0.7427549,0.7952195,0.8053454,0.8060012,0.7563196,0.7746284,0.0
0.7316978,0.7426548,0.7632772,0.7427549,0.7952195,0.8053454,0.8060012,0.7563196,0.7746284,0.7689239,0.0
0.7426548,0.7632772,0.7427549,0.7952195,0.8053454,0.8060012,0.7563196,0.7746284,0.7689239,0.7064138,0.0
0.7632772,0.7427549,0.7952195,0.8053454,0.8060012,0.7563196,0.7746284,0.7689239,0.7064138,0.7005167,0.0
