v9,v8,v7,v6,v5,v4,v3,v2,v1,v0,Detection
-0.2901,-0.3873972,-0.4782875,-0.5078238,-0.547909,-0.5308062,-0.5368537,-0.509029,-0.4918154,-0.4765012,0.0
-0.3873972,-0.4782875,-0.5078238,-0.547909,-0.5308062,-0.5368537,-0.509029,-0.4918154,-0.4765012,-0.4823707,0.0
-0.4782875,-0.5078238,-0.547909,-0.5308062,-0.5368537,-0.509029,-0.4918154,-0.4765012,-0.4823707,-0.457769,0.0
-0.5078238,-0.547909,-0.5308062,-0.5368537,-0.509029,-0.4918154,-0.4765012,-0.4823707,-0.457769,-0.4313343,0.0
-0.547909,-0.5308062,-0.5368537,-0.509029,-0.4918154,-0.4765012,-0.4823707,-0.457769,-0.4313343,-0.397298,0.0
-0.5308062,-0.5368537,-0.509029,-0.4918154,-0.4765012,-0.4823707,-0.457769,-0.4313343,-0.397298,-0.3574766,0.0
-0.5368537,-0.509029,-0.4918154,-0.4765012,-0.4823707,-0.457769,-0.4313343,-0.397298,-0.3574766,-0.3508639,0.0
-0.509029,-0.4918154,-0.4765012,-0.4823707,-0.457769,-0.4313343,-0.397298,-0.3574766,-0.3508639,-0.3259974,0.0
-0.4918154,-0.4765012,-0.4823707,-0.457769,-0.4313343,-0.397298,-0.3574766,-0.3508639,-0.3259974,-0.3438596,0.0
-0.4765012,-0.4823707,-0.457769,-0.4313343,-0.397298,-0.3574766,-0.3508639,-0.3259974,-0.3438596,-0.34997,0.0
-0.4823707,-0.457769,-0.4313343,-0.397298,-0.3574766,-0.3508639,-0.3259974,-0.3438596,-0.34997,-0.3540279,0.0
-0.457769,-0.4313343,-0.397298,-0.3574766,-0.3508639,-0.3259974,-0.3438596,-0.34997,-0.3540279,-0.3453852,0.0
-0.4313343,-0.397298,-0.3574766,-0.3508639,-0.3259974,-0.3438596,-0.34997,-0.3540279,-0.3453852,-0.3595228,0.0
-0.397298,-0.3574766,-0.3508639,-0.3259974,-0.3438596,-0.34997,-0.3540279,-0.3453852,-0.3595228,-0.3511188,0.0
-0.3574766,-0.3508639,-0.3259974,-0.3438596,-0.34997,-0.3540279,-0.3453852,-0.3595228,-0.3511188,-0.3546816,0.0
-0.3508639,-0.3259974,-0.3438596,-0.34997,-0.3540279,-0.3453852,-0.3595228,-0.3511188,-0.3546816,-0.3689435,0.0
-0.3259974,-0.3438596,-0.34997,-0.3540279,-0.3453852,-0.3595228,-0.3511188,-0.3546816,-0.3689435,-0.3693547,0.0
-0.3438596,-0.34997,-0.3540279,-0.3453852,-0.3595228,-0.3511188,-0.3546816,-0.3689435,-0.3693547,-0.3761828,0.0
-0.34997,-0.3540279,-0.3453852,-0.3595228,-0.3511188,-0.3546816,-0.3689435,-0.3693547,-0.3761828,-0.368417,0.0
-0.3540279,-0.3453852,-0.3595228,-0.3511188,-0.3546816,-0.3689435,-0.3693547,-0.3761828,-0.368417,-0.3554305,0.0
-0.3453852,-0.3595228,-0.3511188,-0.3546816,-0.3689435,-0.3693547,-0.3761828,-0.368417,-0.3554305,-0.3631054,0.0
-0.3595228,-0.3511188,-0.3546816,-0.3689435,-0.3693547,-0.3761828,-0.368417,-0.3554305,-0.3631054,-0.3725005,0.0
-0.3511188,-0.3546816,-0.3689435,-0.3693547,-0.3761828,-0.368417,-0.3554305,-0.3631054,-0.3725005,-0.375958,0.0
-0.3546816,-0.3689435,-0.3693547,-0.3761828,-0.368417,-0.3554305,-0.3631054,-0.3725005,-0.375958,-0.3846823,0.0
-0.3689435,-0.3693547,-0.3761828,-0.368417,-0.3554305,-0.3631054,-0.3725005,-0.375958,-0.3846823,-0.3861539,0.0
-0.3693547,-0.3761828,-0.368417,-0.3554305,-0.3631054,-0.3725005,-0.375958,-0.3846823,-0.3861539,-0.3649401,0.0
-0.3761828,-0.368417,-0.3554305,-0.3631054,-0.3725005,-0.375958,-0.3846823,-0.3861539,-0.3649401,-0.3527787,0.0
-0.368417,-0.3554305,-0.3631054,-0.3725005,-0.375958,-0.3846823,-0.3861539,-0.3649401,-0.3527787,-0.3374139,0.0
-0.3554305,-0.3631054,-0.3725005,-0.375958,-0.3846823,-0.3861539,-0.3649401,-0.3527787,-0.3374139,-0.3139147,0.0
-0.3631054,-0.3725005,-0.375958,-0.3846823,-0.3861539,-0.3649401,-0.3527787,-0.3374139,-0.3139147,-0.2984882,0.0
-0.3725005,-0.375958,-0.3846823,-0.3861539,-0.3649401,-0.3527787,-0.3374139,-0.3139147,-0.2984882,-0.2719963,0.0
-0.375958,-0.3846823,-0.3861539,-0.3649401,-0.3527787,-0.3374139,-0.3139147,-0.2984882,-0.2719963,-0.2573218,0.0
-0.3846823,-0.3861539,-0.3649401,-0.3527787,-0.3374139,-0.3139147,-0.2984882,-0.2719963,-0.2573218,-0.2317047,0.0
-0.3861539,-0.3649401,-0.3527787,-0.3374139,-0.3139147,-0.2984882,-0.2719963,-0.2573218,-0.2317047,-0.20148,0.0
-0.3649401,-0.3527787,-0.3374139,-0.3139147,-0.2984882,-0.2719963,-0.2573218,-0.2317047,-0.20148,-0.1836005,0.0
-0.3527787,-0.3374139,-0.3139147,-0.2984882,-0.2719963,-0.2573218,-0.2317047,-0.20148,-0.1836005,-0.1690748,0.0
-0.3374139,-0.3139147,-0.2984882,-0.2719963,-0.2573218,-0.2317047,-0.20148,-0.1836005,-0.1690748,-0.1666485,0.0
-0.3139147,-0.2984882,-0.2719963,-0.2573218,-0.2317047,-0.20148,-0.1836005,-0.1690748,-0.1666485,-0.1638622,0.0
-0.2984882,-0.2719963,-0.2573218,-0.2317047,-0.20148,-0.1836005,-0.1690748,-0.1666485,-0.1638622,-0.1717074,0.0
-0.2719963,-0.2573218,-0.2317047,-0.20148,-0.1836005,-0.1690748,-0.1666485,-0.1638622,-0.1717074,-0.1688023,0.0
-0.2573218,-0.2317047,-0.20148,-0.1836005,-0.1690748,-0.1666485,-0.1638622,-0.1717074,-0.1688023,-0.1617905,0.0
-0.2317047,-0.20148,-0.1836005,-0.1690748,-0.1666485,-0.1638622,-0.1717074,-0.1688023,-0.1617905,-0.1528692,0.0
-0.20148,-0.1836005,-0.1690748,-0.1666485,-0.1638622,-0.1717074,-0.1688023,-0.1617905,-0.1528692,-0.1552721,0.0
-0.1836005,-0.1690748,-0.1666485,-0.1638622,-0.1717074,-0.1688023,-0.1617905,-0.1528692,-0.1552721,-0.1456978,0.0
-0.1690748,-0.1666485,-0.1638622,-0.1717074,-0.1688023,-0.1617905,-0.1528692,-0.1552721,-0.1456978,-0.1412106,0.0
-0.1666485,-0.1638622,-0.1717074,-0.1688023,-0.1617905,-0.1528692,-0.1552721,-0.1456978,-0.1412106,-0.1429316,0.0
-0.1638622,-0.1717074,-0.1688023,-0.1617905,-0.1528692,-0.1552721,-0.1456978,-0.1412106,-0.1429316,-0.1310502,0.0
-0.1717074,-0.1688023,-0.1617905,-0.1528692,-0.1552721,-0.1456978,-0.1412106,-0.1429316,-0.1310502,-0.1220001,0.0
-0.1688023,-0.1617905,-0.1528692,-0.1552721,-0.1456978,-0.1412106,-0.1429316,-0.1310502,-0.1220001,-0.0991244,0.0
-0.1617905,-0.1528692,-0.1552721,-0.1456978,-0.1412106,-0.1429316,-0.1310502,-0.1220001,-0.0991244,-0.1113057,0.0
-0.1528692,-0.1552721,-0.1456978,-0.1412106,-0.1429316,-0.1310502,-0.1220001,-0.0991244,-0.1113057,-0.1101652,0.0
-0.1552721,-0.1456978,-0.1412106,-0.1429316,-0.1310502,-0.1220001,-0.0991244,-0.1113057,-0.1101652,-0.1168269,0.0
-0.1456978,-0.1412106,-0.1429316,-0.1310502,-0.1220001,-0.0991244,-0.1113057,-0.1101652,-0.1168269,-0.1025235,0.0
-0.1412106,-0.1429316,-0.1310502,-0.1220001,-0.0991244,-0.1113057,-0.1101652,-0.1168269,-0.1025235,-0.1229597,0.0
-0.1429316,-0.1310502,-0.1220001,-0.0991244,-0.1113057,-0.1101652,-0.1168269,-0.1025235,-0.1229597,-0.1372154,0.0
-0.1310502,-0.1220001,-0.0991244,-0.1113057,-0.1101652,-0.1168269,-0.1025235,-0.1229597,-0.1372154,-0.1465789,0.0
-0.1220001,-0.0991244,-0.1113057,-0.1101652,-0.1168269,-0.1025235,-0.1229597,-0.1372154,-0.1465789,-0.1570974,0.0
-0.0991244,-0.1113057,-0.1101652,-0.1168269,-0.1025235,-0.1229597,-0.1372154,-0.1465789,-0.1570974,-0.1618574,0.0
-0.1113057,-0.1101652,-0.1168269,-0.1025235,-0.1229597,-0.1372154,-0.1465789,-0.1570974,-0.1618574,-0.1701747,0.0
-0.1101652,-0.1168269,-0.1025235,-0.1229597,-0.1372154,-0.1465789,-0.1570974,-0.1618574,-0.1701747,-0.1586988,0.0
-0.1168269,-0.1025235,-0.1229597,-0.1372154,-0.1465789,-0.1570974,-0.1618574,-0.1701747,-0.1586988,-0.1646703,0.0
-0.1025235,-0.1229597,-0.1372154,-0.1465789,-0.1570974,-0.1618574,-0.1701747,-0.1586988,-0.1646703,-0.145305,0.0
-0.1229597,-0.1372154,-0.1465789,-0.1570974,-0.1618574,-0.1701747,-0.1586988,-0.1646703,-0.145305,-0.1497375,0.0
-0.1372154,-0.1465789,-0.1570974,-0.1618574,-0.1701747,-0.1586988,-0.1646703,-0.145305,-0.1497375,-0.1246187,0.0
-0.1465789,-0.1570974,-0.1618574,-0.1701747,-0.1586988,-0.1646703,-0.145305,-0.1497375,-0.1246187,-0.0965907,0.0
-0.1570974,-0.1618574,-0.1701747,-0.1586988,-0.1646703,-0.145305,-0.1497375,-0.1246187,-0.0965907,-0.0725502,0.0
-0.1618574,-0.1701747,-0.1586988,-0.1646703,-0.145305,-0.1497375,-0.1246187,-0.0965907,-0.0725502,-0.039478,0.0
-0.1701747,-0.1586988,-0.1646703,-0.145305,-0.1497375,-0.1246187,-0.0965907,-0.0725502,-0.039478,-0.0251214,0.0
-0.1586988,-0.1646703,-0.145305,-0.1497375,-0.1246187,-0.0965907,-0.0725502,-0.039478,-0.0251214,-0.004058,0.0
-0.1646703,-0.145305,-0.1497375,-0.1246187,-0.0965907,-0.0725502,-0.039478,-0.0251214,-0.004058,0.0122875,0.0
-0.145305,-0.1497375,-0.1246187,-0.0965907,-0.0725502,-0.039478,-0.0251214,-0.004058,0.0122875,0.0242301,0.0
-0.1497375,-0.1246187,-0.0965907,-0.0725502,-0.039478,-0.0251214,-0.004058,0.0122875,0.0242301,0.0209068,0.0
-0.1246187,-0.0965907,-0.0725502,-0.039478,-0.0251214,-0.004058,0.0122875,0.0242301,0.0209068,0.0337841,0.0
-0.0965907,-0.0725502,-0.039478,-0.0251214,-0.004058,0.0122875,0.0242301,0.0209068,0.0337841,0.0392831,0.0
-0.0725502,-0.039478,-0.0251214,-0.004058,0.0122875,0.0242301,0.0209068,0.0337841,0.0392831,0.0300791,0.0
-0.039478,-0.0251214,-0.004058,0.0122875,0.0242301,0.0209068,0.0337841,0.0392831,0.0300791,0.0293499,0.0
-0.0251214,-0.004058,0.0122875,0.0242301,0.0209068,0.0337841,0.0392831,0.0300791,0.0293499,0.0187881,0.0
-0.004058,0.0122875,0.0242301,0.0209068,0.0337841,0.0392831,0.0300791,0.0293499,0.0187881,0.0177534,0.0
0.0122875,0.0242301,0.0209068,0.0337841,0.0392831,0.0300791,0.0293499,0.0187881,0.0177534,0.0126626,0.0
0.0242301,0.0209068,0.0337841,0.0392831,0.0300791,0.0293499,0.0187881,0.0177534,0.0126626,0.0130034,0.0
0.0209068,0.0337841,0.0392831,0.0300791,0.0293499,0.0187881,0.0177534,0.0126626,0.0130034,0.0219862,0.0
0.0337841,0.0392831,0.0300791,0.0293499,0.0187881,0.0177534,0.0126626,0.0130034,0.0219862,0.0265245,0.0
0.0392831,0.0300791,0.0293499,0.0187881,0.0177534,0.0126626,0.0130034,0.0219862,0.0265245,0.0240401,0.0
0.0300791,0.0293499,0.0187881,0.0177534,0.0126626,0.0130034,0.0219862,0.0265245,0.0240401,0.0074873,0.0
0.0293499,0.0187881,0.0177534,0.0126626,0.0130034,0.0219862,0.0265245,0.0240401,0.0074873,0.0147423,0.0
0.0187881,0.0177534,0.0126626,0.0130034,0.0219862,0.0265245,0.0240401,0.0074873,0.0147423,0.007472,0.0
0.0177534,0.0126626,0.0130034,0.0219862,0.0265245,0.0240401,0.0074873,0.0147423,0.007472,-0.0030866,0.0
0.0126626,0.0130034,0.0219862,0.0265245,0.0240401,0.0074873,0.0147423,0.007472,-0.0030866,-0.0012442,0.0
0.0130034,0.0219862,0.0265245,0.0240401,0.0074873,0.0147423,0.007472,-0.0030866,-0.0012442,0.0023538,0.0
0.0219862,0.0265245,0.0240401,0.0074873,0.0147423,0.007472,-0.0030866,-0.0012442,0.0023538,-0.0117823,0.0
0.0265245,0.0240401,0.0074873,0.0147423,0.007472,-0.0030866,-0.0012442,0.0023538,-0.0117823,-0.0202219,0.0
0.0240401,0.0074873,0.0147423,0.007472,-0.0030866,-0.0012442,0.0023538,-0.0117823,-0.0202219,-0.0242012,0.0
0.0074873,0.0147423,0.007472,-0.0030866,-0.0012442,0.0023538,-0.0117823,-0.0202219,-0.0242012,-0.0192274,0.0
0.0147423,0.007472,-0.0030866,-0.0012442,0.0023538,-0.0117823,-0.0202219,-0.0242012,-0.0192274,-0.0136491,0.0
0.007472,-0.0030866,-0.0012442,0.0023538,-0.0117823,-0.0202219,-0.0242012,-0.0192274,-0.0136491,-0.0188521,0.0
-0.0030866,-0.0012442,0.0023538,-0.0117823,-0.0202219,-0.0242012,-0.0192274,-0.0136491,-0.0188521,-0.022185,0.0
-0.0012442,0.0023538,-0.0117823,-0.0202219,-0.0242012,-0.0192274,-0.0136491,-0.0188521,-0.022185,0.0007494,0.0
0.0023538,-0.0117823,-0.0202219,-0.0242012,-0.0192274,-0.0136491,-0.0188521,-0.022185,0.0007494,0.0091772,0.0
-0.0117823,-0.0202219,-0.0242012,-0.0192274,-0.0136491,-0.0188521,-0.022185,0.0007494,0.0091772,0.0057801,0.0
-0.0202219,-0.0242012,-0.0192274,-0.0136491,-0.0188521,-0.022185,0.0007494,0.0091772,0.0057801,0.0060613,0.0
-0.0242012,-0.0192274,-0.0136491,-0.0188521,-0.022185,0.0007494,0.0091772,0.0057801,0.0060613,-0.0019453,0.0
-0.0192274,-0.0136491,-0.0188521,-0.022185,0.0007494,0.0091772,0.0057801,0.0060613,-0.0019453,-0.002589,0.0
-0.0136491,-0.0188521,-0.022185,0.0007494,0.0091772,0.0057801,0.0060613,-0.0019453,-0.002589,-0.0151382,0.0
-0.0188521,-0.022185,0.0007494,0.0091772,0.0057801,0.0060613,-0.0019453,-0.002589,-0.0151382,-0.0158173,0.0
-0.022185,0.0007494,0.0091772,0.0057801,0.0060613,-0.0019453,-0.002589,-0.0151382,-0.0158173,-0.01928,0.0
0.0007494,0.0091772,0.0057801,0.0060613,-0.0019453,-0.002589,-0.0151382,-0.0158173,-0.01928,-0.0175183,0.0
0.0091772,0.0057801,0.0060613,-0.0019453,-0.002589,-0.0151382,-0.0158173,-0.01928,-0.0175183,-0.0301316,0.0
0.0057801,0.0060613,-0.0019453,-0.002589,-0.0151382,-0.0158173,-0.01928,-0.0175183,-0.0301316,-0.0298106,0.0
0.0060613,-0.0019453,-0.002589,-0.0151382,-0.0158173,-0.01928,-0.0175183,-0.0301316,-0.0298106,-0.0364345,0.0
-0.0019453,-0.002589,-0.0151382,-0.0158173,-0.01928,-0.0175183,-0.0301316,-0.0298106,-0.0364345,-0.0329657,0.0
-0.002589,-0.0151382,-0.0158173,-0.01928,-0.0175183,-0.0301316,-0.0298106,-0.0364345,-0.0329657,-0.0232452,0.0
-0.0151382,-0.0158173,-0.01928,-0.0175183,-0.0301316,-0.0298106,-0.0364345,-0.0329657,-0.0232452,-0.0232423,0.0
-0.0158173,-0.01928,-0.0175183,-0.0301316,-0.0298106,-0.0364345,-0.0329657,-0.0232452,-0.0232423,-0.0048063,0.0
-0.01928,-0.0175183,-0.0301316,-0.0298106,-0.0364345,-0.0329657,-0.0232452,-0.0232423,-0.0048063,0.0084415,0.0
-0.0175183,-0.0301316,-0.0298106,-0.0364345,-0.0329657,-0.0232452,-0.0232423,-0.0048063,0.0084415,0.0136281,0.0
-0.0301316,-0.0298106,-0.0364345,-0.0329657,-0.0232452,-0.0232423,-0.0048063,0.0084415,0.0136281,0.0330261,0.0
-0.0298106,-0.0364345,-0.0329657,-0.0232452,-0.0232423,-0.0048063,0.0084415,0.0136281,0.0330261,0.0443822,0.0
-0.0364345,-0.0329657,-0.0232452,-0.0232423,-0.0048063,0.0084415,0.0136281,0.0330261,0.0443822,0.0453258,0.0
-0.0329657,-0.0232452,-0.0232423,-0.0048063,0.0084415,0.0136281,0.0330261,0.0443822,0.0453258,0.0502429,0.0
-0.0232452,-0.0232423,-0.0048063,0.0084415,0.0136281,0.0330261,0.0443822,0.0453258,0.0502429,0.0481721,0.0
-0.0232423,-0.0048063,0.0084415,0.0136281,0.0330261,0.0443822,0.0453258,0.0502429,0.0481721,0.0599815,0.0
-0.0048063,0.0084415,0.0136281,0.0330261,0.0443822,0.0453258,0.0502429,0.0481721,0.0599815,0.0625502,0.0
0.0084415,0.0136281,0.0330261,0.0443822,0.0453258,0.0502429,0.0481721,0.0599815,0.0625502,0.0495006,0.0
0.0136281,0.0330261,0.0443822,0.0453258,0.0502429,0.0481721,0.0599815,0.0625502,0.0495006,0.0339449,0.0
0.0330261,0.0443822,0.0453258,0.0502429,0.0481721,0.0599815,0.0625502,0.0495006,0.0339449,0.0245479,0.0
0.0443822,0.0453258,0.0502429,0.0481721,0.0599815,0.0625502,0.0495006,0.0339449,0.0245479,0.0095056,0.0
0.0453258,0.0502429,0.0481721,0.0599815,0.0625502,0.0495006,0.0339449,0.0245479,0.0095056,-0.0103766,0.0
0.0502429,0.0481721,0.0599815,0.0625502,0.0495006,0.0339449,0.0245479,0.0095056,-0.0103766,-0.0271011,0.0
0.0481721,0.0599815,0.0625502,0.0495006,0.0339449,0.0245479,0.0095056,-0.0103766,-0.0271011,-0.0367078,0.0
0.0599815,0.0625502,0.0495006,0.0339449,0.0245479,0.0095056,-0.0103766,-0.0271011,-0.0367078,-0.0322285,0.0
0.0625502,0.0495006,0.0339449,0.0245479,0.0095056,-0.0103766,-0.0271011,-0.0367078,-0.0322285,-0.0362831,0.0
0.0495006,0.0339449,0.0245479,0.0095056,-0.0103766,-0.0271011,-0.0367078,-0.0322285,-0.0362831,-0.0432709,0.0
0.0339449,0.0245479,0.0095056,-0.0103766,-0.0271011,-0.0367078,-0.0322285,-0.0362831,-0.0432709,-0.0373017,0.0
0.0245479,0.0095056,-0.0103766,-0.0271011,-0.0367078,-0.0322285,-0.0362831,-0.0432709,-0.0373017,-0.0353505,0.0
0.0095056,-0.0103766,-0.0271011,-0.0367078,-0.0322285,-0.0362831,-0.0432709,-0.0373017,-0.0353505,-0.0192924,0.0
-0.0103766,-0.0271011,-0.0367078,-0.0322285,-0.0362831,-0.0432709,-0.0373017,-0.0353505,-0.0192924,-0.0090305,0.0
-0.0271011,-0.0367078,-0.0322285,-0.0362831,-0.0432709,-0.0373017,-0.0353505,-0.0192924,-0.0090305,0.0083092,0.0
-0.0367078,-0.0322285,-0.0362831,-0.0432709,-0.0373017,-0.0353505,-0.0192924,-0.0090305,0.0083092,0.0213554,0.0
-0.0322285,-0.0362831,-0.0432709,-0.0373017,-0.0353505,-0.0192924,-0.0090305,0.0083092,0.0213554,0.0403667,0.0
-0.0362831,-0.0432709,-0.0373017,-0.0353505,-0.0192924,-0.0090305,0.0083092,0.0213554,0.0403667,0.0388384,0.0
-0.0432709,-0.0373017,-0.0353505,-0.0192924,-0.0090305,0.0083092,0.0213554,0.0403667,0.0388384,0.028569,0.0
-0.0373017,-0.0353505,-0.0192924,-0.0090305,0.0083092,0.0213554,0.0403667,0.0388384,0.028569,0.0388723,0.0
-0.0353505,-0.0192924,-0.0090305,0.0083092,0.0213554,0.0403667,0.0388384,0.028569,0.0388723,0.031079,0.0
-0.0192924,-0.0090305,0.0083092,0.0213554,0.0403667,0.0388384,0.028569,0.0388723,0.031079,0.024445,0.0
-0.0090305,0.0083092,0.0213554,0.0403667,0.0388384,0.028569,0.0388723,0.031079,0.024445,0.0105662,0.0
0.0083092,0.0213554,0.0403667,0.0388384,0.028569,0.0388723,0.031079,0.024445,0.0105662,0.0052235,0.0
0.0213554,0.0403667,0.0388384,0.028569,0.0388723,0.031079,0.024445,0.0105662,0.0052235,-0.0005091,0.0
0.0403667,0.0388384,0.028569,0.0388723,0.031079,0.024445,0.0105662,0.0052235,-0.0005091,-0.0099324,0.0
0.0388384,0.028569,0.0388723,0.031079,0.024445,0.0105662,0.0052235,-0.0005091,-0.0099324,-0.0166122,0.0
0.028569,0.0388723,0.031079,0.024445,0.0105662,0.0052235,-0.0005091,-0.0099324,-0.0166122,-0.0064647,0.0
0.0388723,0.031079,0.024445,0.0105662,0.0052235,-0.0005091,-0.0099324,-0.0166122,-0.0064647,0.0022214,0.0
0.031079,0.024445,0.0105662,0.0052235,-0.0005091,-0.0099324,-0.0166122,-0.0064647,0.0022214,0.0038938,0.0
