v9,v8,v7,v6,v5,v4,v3,v2,v1,v0,Detection
-0.16,-0.1421706,-0.0950624,-0.0787725,-0.092936,-0.0867404,-0.0961423,-0.0826714,-0.0755746,-0.0741043,0.0
-0.1421706,-0.0950624,-0.0787725,-0.092936,-0.0867404,-0.0961423,-0.0826714,-0.0755746,-0.0741043,-0.0645892,0.0
-0.0950624,-0.0787725,-0.092936,-0.0867404,-0.0961423,-0.0826714,-0.0755746,-0.0741043,-0.0645892,-0.0475784,0.0
-0.0787725,-0.092936,-0.0867404,-0.0961423,-0.0826714,-0.0755746,-0.0741043,-0.0645892,-0.0475784,-0.0595095,0.0
-0.092936,-0.0867404,-0.0961423,-0.0826714,-0.0755746,-0.0741043,-0.0645892,-0.0475784,-0.0595095,-0.0529691,0.0
-0.0867404,-0.0961423,-0.0826714,-0.0755746,-0.0741043,-0.0645892,-0.0475784,-0.0595095,-0.0529691,-0.0396185,0.0
-0.0961423,-0.0826714,-0.0755746,-0.0741043,-0.0645892,-0.0475784,-0.0595095,-0.0529691,-0.0396185,-0.0420423,0.0
-0.0826714,-0.0755746,-0.0741043,-0.0645892,-0.0475784,-0.0595095,-0.0529691,-0.0396185,-0.0420423,-0.032332,0.0
-0.0755746,-0.0741043,-0.0645892,-0.0475784,-0.0595095,-0.0529691,-0.0396185,-0.0420423,-0.032332,-0.0489364,0.0
-0.0741043,-0.0645892,-0.0475784,-0.0595095,-0.0529691,-0.0396185,-0.0420423,-0.032332,-0.0489364,-0.0590354,0.0
-0.0645892,-0.0475784,-0.0595095,-0.0529691,-0.0396185,-0.0420423,-0.032332,-0.0489364,-0.0590354,-0.0592296,0.0
-0.0475784,-0.0595095,-0.0529691,-0.0396185,-0.0420423,-0.032332,-0.0489364,-0.0590354,-0.0592296,-0.053492,0.0
-0.0595095,-0.0529691,-0.0396185,-0.0420423,-0.032332,-0.0489364,-0.0590354,-0.0592296,-0.053492,-0.0715754,0.0
-0.0529691,-0.0396185,-0.0420423,-0.032332,-0.0489364,-0.0590354,-0.0592296,-0.053492,-0.0715754,-0.0633207,0.0
-0.0396185,-0.0420423,-0.032332,-0.0489364,-0.0590354,-0.0592296,-0.053492,-0.0715754,-0.0633207,-0.0640545,0.0
-0.0420423,-0.032332,-0.0489364,-0.0590354,-0.0592296,-0.053492,-0.0715754,-0.0633207,-0.0640545,-0.0758457,0.0
-0.032332,-0.0489364,-0.0590354,-0.0592296,-0.053492,-0.0715754,-0.0633207,-0.0640545,-0.0758457,-0.0744593,0.0
-0.0489364,-0.0590354,-0.0592296,-0.053492,-0.0715754,-0.0633207,-0.0640545,-0.0758457,-0.0744593,-0.0787916,0.0
-0.0590354,-0.0592296,-0.053492,-0.0715754,-0.0633207,-0.0640545,-0.0758457,-0.0744593,-0.0787916,-0.0714258,0.0
-0.0592296,-0.053492,-0.0715754,-0.0633207,-0.0640545,-0.0758457,-0.0744593,-0.0787916,-0.0714258,-0.0541922,0.0
-0.053492,-0.0715754,-0.0633207,-0.0640545,-0.0758457,-0.0744593,-0.0787916,-0.0714258,-0.0541922,-0.0611152,0.0
-0.0715754,-0.0633207,-0.0640545,-0.0758457,-0.0744593,-0.0787916,-0.0714258,-0.0541922,-0.0611152,-0.0678209,0.0
-0.0633207,-0.0640545,-0.0758457,-0.0744593,-0.0787916,-0.0714258,-0.0541922,-0.0611152,-0.0678209,-0.0677309,0.0
-0.0640545,-0.0758457,-0.0744593,-0.0787916,-0.0714258,-0.0541922,-0.0611152,-0.0678209,-0.0677309,-0.0764382,0.0
-0.0758457,-0.0744593,-0.0787916,-0.0714258,-0.0541922,-0.0611152,-0.0678209,-0.0677309,-0.0764382,-0.0889783,0.0
-0.0744593,-0.0787916,-0.0714258,-0.0541922,-0.0611152,-0.0678209,-0.0677309,-0.0764382,-0.0889783,-0.0794886,0.0
-0.0787916,-0.0714258,-0.0541922,-0.0611152,-0.0678209,-0.0677309,-0.0764382,-0.0889783,-0.0794886,-0.0836105,0.0
-0.0714258,-0.0541922,-0.0611152,-0.0678209,-0.0677309,-0.0764382,-0.0889783,-0.0794886,-0.0836105,-0.0832849,0.0
-0.0541922,-0.0611152,-0.0678209,-0.0677309,-0.0764382,-0.0889783,-0.0794886,-0.0836105,-0.0832849,-0.079926,0.0
-0.0611152,-0.0678209,-0.0677309,-0.0764382,-0.0889783,-0.0794886,-0.0836105,-0.0832849,-0.079926,-0.0814067,0.0
-0.0678209,-0.0677309,-0.0764382,-0.0889783,-0.0794886,-0.0836105,-0.0832849,-0.079926,-0.0814067,-0.0717245,0.0
-0.0677309,-0.0764382,-0.0889783,-0.0794886,-0.0836105,-0.0832849,-0.079926,-0.0814067,-0.0717245,-0.0703669,0.0
-0.0764382,-0.0889783,-0.0794886,-0.0836105,-0.0832849,-0.079926,-0.0814067,-0.0717245,-0.0703669,-0.0586827,0.0
-0.0889783,-0.0794886,-0.0836105,-0.0832849,-0.079926,-0.0814067,-0.0717245,-0.0703669,-0.0586827,-0.0444276,0.0
-0.0794886,-0.0836105,-0.0832849,-0.079926,-0.0814067,-0.0717245,-0.0703669,-0.0586827,-0.0444276,-0.0302068,0.0
-0.0836105,-0.0832849,-0.079926,-0.0814067,-0.0717245,-0.0703669,-0.0586827,-0.0444276,-0.0302068,-0.0185557,0.0
-0.0832849,-0.079926,-0.0814067,-0.0717245,-0.0703669,-0.0586827,-0.0444276,-0.0302068,-0.0185557,-0.0137944,0.0
-0.079926,-0.0814067,-0.0717245,-0.0703669,-0.0586827,-0.0444276,-0.0302068,-0.0185557,-0.0137944,-0.0070609,0.0
-0.0814067,-0.0717245,-0.0703669,-0.0586827,-0.0444276,-0.0302068,-0.0185557,-0.0137944,-0.0070609,-0.0100064,0.0
-0.0717245,-0.0703669,-0.0586827,-0.0444276,-0.0302068,-0.0185557,-0.0137944,-0.0070609,-0.0100064,-0.0071035,0.0
-0.0703669,-0.0586827,-0.0444276,-0.0302068,-0.0185557,-0.0137944,-0.0070609,-0.0100064,-0.0071035,-0.0004712,0.0
-0.0586827,-0.0444276,-0.0302068,-0.0185557,-0.0137944,-0.0070609,-0.0100064,-0.0071035,-0.0004712,0.0034652,0.0
-0.0444276,-0.0302068,-0.0185557,-0.0137944,-0.0070609,-0.0100064,-0.0071035,-0.0004712,0.0034652,-0.0039218,0.0
-0.0302068,-0.0185557,-0.0137944,-0.0070609,-0.0100064,-0.0071035,-0.0004712,0.0034652,-0.0039218,0.0040039,0.0
-0.0185557,-0.0137944,-0.0070609,-0.0100064,-0.0071035,-0.0004712,0.0034652,-0.0039218,0.0040039,0.0041568,0.0
-0.0137944,-0.0070609,-0.0100064,-0.0071035,-0.0004712,0.0034652,-0.0039218,0.0040039,0.0041568,-0.0010636,0.0
-0.0070609,-0.0100064,-0.0071035,-0.0004712,0.0034652,-0.0039218,0.0040039,0.0041568,-0.0010636,0.0058,0.0
