v9,v8,v7,v6,v5,v4,v3,v2,v1,v0,Detection
-0.16,-0.125,-0.0733333,-0.065,-0.098,-0.0833333,-0.0971429,-0.08125,-0.0855556,-0.072,0.0
-0.125,-0.0733333,-0.065,-0.098,-0.0833333,-0.0971429,-0.08125,-0.0855556,-0.072,-0.052,0.0
-0.0733333,-0.065,-0.098,-0.0833333,-0.0971429,-0.08125,-0.0855556,-0.072,-0.052,-0.033,0.0
-0.065,-0.098,-0.0833333,-0.0971429,-0.08125,-0.0855556,-0.072,-0.052,-0.033,-0.053,0.0
-0.098,-0.0833333,-0.0971429,-0.08125,-0.0855556,-0.072,-0.052,-0.033,-0.053,-0.036,0.0
-0.0833333,-0.0971429,-0.08125,-0.0855556,-0.072,-0.052,-0.033,-0.053,-0.036,-0.028,0.0
-0.0971429,-0.08125,-0.0855556,-0.072,-0.052,-0.033,-0.053,-0.036,-0.028,-0.026,0.0
-0.08125,-0.0855556,-0.072,-0.052,-0.033,-0.053,-0.036,-0.028,-0.026,-0.023,0.0
-0.0855556,-0.072,-0.052,-0.033,-0.053,-0.036,-0.028,-0.026,-0.023,-0.055,0.0
-0.072,-0.052,-0.033,-0.053,-0.036,-0.028,-0.026,-0.023,-0.055,-0.054,0.0
-0.052,-0.033,-0.053,-0.036,-0.028,-0.026,-0.023,-0.055,-0.054,-0.054,0.0
-0.033,-0.053,-0.036,-0.028,-0.026,-0.023,-0.055,-0.054,-0.054,-0.055,0.0
-0.053,-0.036,-0.028,-0.026,-0.023,-0.055,-0.054,-0.054,-0.055,-0.078,0.0
-0.036,-0.028,-0.026,-0.023,-0.055,-0.054,-0.054,-0.055,-0.078,-0.078,0.0
-0.028,-0.026,-0.023,-0.055,-0.054,-0.054,-0.055,-0.078,-0.078,-0.088,0.0
-0.026,-0.023,-0.055,-0.054,-0.054,-0.055,-0.078,-0.078,-0.088,-0.085,0.0
-0.023,-0.055,-0.054,-0.054,-0.055,-0.078,-0.078,-0.088,-0.085,-0.096,0.0
-0.055,-0.054,-0.054,-0.055,-0.078,-0.078,-0.088,-0.085,-0.096,-0.081,0.0
-0.054,-0.054,-0.055,-0.078,-0.078,-0.088,-0.085,-0.096,-0.081,-0.069,0.0
-0.054,-0.055,-0.078,-0.078,-0.088,-0.085,-0.096,-0.081,-0.069,-0.054,0.0
-0.055,-0.078,-0.078,-0.088,-0.085,-0.096,-0.081,-0.069,-0.054,-0.065,0.0
-0.078,-0.078,-0.088,-0.085,-0.096,-0.081,-0.069,-0.054,-0.065,-0.066,0.0
-0.078,-0.088,-0.085,-0.096,-0.081,-0.069,-0.054,-0.065,-0.066,-0.068,0.0
-0.088,-0.085,-0.096,-0.081,-0.069,-0.054,-0.065,-0.066,-0.068,-0.07,0.0
-0.085,-0.096,-0.081,-0.069,-0.054,-0.065,-0.066,-0.068,-0.07,-0.065,0.0
-0.096,-0.081,-0.069,-0.054,-0.065,-0.066,-0.068,-0.07,-0.065,-0.062,0.0
-0.081,-0.069,-0.054,-0.065,-0.066,-0.068,-0.07,-0.065,-0.062,-0.062,0.0
-0.069,-0.054,-0.065,-0.066,-0.068,-0.07,-0.065,-0.062,-0.062,-0.07,0.0
-0.054,-0.065,-0.066,-0.068,-0.07,-0.065,-0.062,-0.062,-0.07,-0.058,0.0
-0.065,-0.066,-0.068,-0.07,-0.065,-0.062,-0.062,-0.07,-0.058,-0.058,0.0
-0.066,-0.068,-0.07,-0.065,-0.062,-0.062,-0.07,-0.058,-0.058,-0.049,0.0
-0.068,-0.07,-0.065,-0.062,-0.062,-0.07,-0.058,-0.058,-0.049,-0.055,0.0
-0.07,-0.065,-0.062,-0.062,-0.07,-0.058,-0.058,-0.049,-0.055,-0.036,0.0
-0.065,-0.062,-0.062,-0.07,-0.058,-0.058,-0.049,-0.055,-0.036,-0.01,0.0
-0.062,-0.062,-0.07,-0.058,-0.058,-0.049,-0.055,-0.036,-0.01,-0.028,0.0
-0.062,-0.07,-0.058,-0.058,-0.049,-0.055,-0.036,-0.01,-0.028,-0.009,0.0
-0.07,-0.058,-0.058,-0.049,-0.055,-0.036,-0.01,-0.028,-0.009,-0.007,0.0
-0.058,-0.058,-0.049,-0.055,-0.036,-0.01,-0.028,-0.009,-0.007,-0.002,0.0
-0.058,-0.049,-0.055,-0.036,-0.01,-0.028,-0.009,-0.007,-0.002,-0.001,0.0
-0.049,-0.055,-0.036,-0.01,-0.028,-0.009,-0.007,-0.002,-0.001,0.008,0.0
-0.055,-0.036,-0.01,-0.028,-0.009,-0.007,-0.002,-0.001,0.008,0.016,0.0
-0.036,-0.01,-0.028,-0.009,-0.007,-0.002,-0.001,0.008,0.016,0.036,0.0
-0.01,-0.028,-0.009,-0.007,-0.002,-0.001,0.008,0.016,0.036,0.023,0.0
-0.028,-0.009,-0.007,-0.002,-0.001,0.008,0.016,0.036,0.023,0.021,0.0
-0.009,-0.007,-0.002,-0.001,0.008,0.016,0.036,0.023,0.021,0.035,0.0
-0.007,-0.002,-0.001,0.008,0.016,0.036,0.023,0.021,0.035,0.022,0.0
-0.002,-0.001,0.008,0.016,0.036,0.023,0.021,0.035,0.022,0.048,0.0
-0.001,0.008,0.016,0.036,0.023,0.021,0.035,0.022,0.048,0.056,0.0
0.008,0.016,0.036,0.023,0.021,0.035,0.022,0.048,0.056,0.068,0.0
0.016,0.036,0.023,0.021,0.035,0.022,0.048,0.056,0.068,0.036,0.0
0.036,0.023,0.021,0.035,0.022,0.048,0.056,0.068,0.036,0.021,0.0
0.023,0.021,0.035,0.022,0.048,0.056,0.068,0.036,0.021,-0.001,0.0
0.021,0.035,0.022,0.048,0.056,0.068,0.036,0.021,-0.001,0.031,0.0
0.035,0.022,0.048,0.056,0.068,0.036,0.021,-0.001,0.031,0.024,0.0
0.022,0.048,0.056,0.068,0.036,0.021,-0.001,0.031,0.024,0.008,0.0
0.048,0.056,0.068,0.036,0.021,-0.001,0.031,0.024,0.008,0.0,0.0
0.056,0.068,0.036,0.021,-0.001,0.031,0.024,0.008,0.0,-0.014,0.0
0.068,0.036,0.021,-0.001,0.031,0.024,0.008,0.0,-0.014,-0.011,0.0
0.036,0.021,-0.001,0.031,0.024,0.008,0.0,-0.014,-0.011,-0.028,0.0
0.021,-0.001,0.031,0.024,0.008,0.0,-0.014,-0.011,-0.028,-0.015,0.0
-0.001,0.031,0.024,0.008,0.0,-0.014,-0.011,-0.028,-0.015,-0.017,0.0
0.031,0.024,0.008,0.0,-0.014,-0.011,-0.028,-0.015,-0.017,0.008,0.0
0.024,0.008,0.0,-0.014,-0.011,-0.028,-0.015,-0.017,0.008,-0.008,0.0
0.008,0.0,-0.014,-0.011,-0.028,-0.015,-0.017,0.008,-0.008,-0.007,0.0
0.0,-0.014,-0.011,-0.028,-0.015,-0.017,0.008,-0.008,-0.007,0.007,0.0
-0.014,-0.011,-0.028,-0.015,-0.017,0.008,-0.008,-0.007,0.007,0.03,0.0
-0.011,-0.028,-0.015,-0.017,0.008,-0.008,-0.007,0.007,0.03,0.026,0.0
-0.028,-0.015,-0.017,0.008,-0.008,-0.007,0.007,0.03,0.026,0.01,0.0
-0.015,-0.017,0.008,-0.008,-0.007,0.007,0.03,0.026,0.01,0.026,0.0
-0.017,0.008,-0.008,-0.007,0.007,0.03,0.026,0.01,0.026,0.049,0.0
0.008,-0.008,-0.007,0.007,0.03,0.026,0.01,0.026,0.049,0.056,0.0
