v9,v8,v7,v6,v5,v4,v3,v2,v1,v0,Detection
-0.08,-0.07,0.06,0.03,-0.05,0.05,-0.03,0.14,0.14,0.1,0.0
-0.07,0.06,0.03,-0.05,0.05,-0.03,0.14,0.14,0.1,0.11,0.0
0.06,0.03,-0.05,0.05,-0.03,0.14,0.14,0.1,0.11,0.24,0.0
0.03,-0.05,0.05,-0.03,0.14,0.14,0.1,0.11,0.24,0.09,0.0
-0.05,0.05,-0.03,0.14,0.14,0.1,0.11,0.24,0.09,0.26,0.0
0.05,-0.03,0.14,0.14,0.1,0.11,0.24,0.09,0.26,0.23,0.0
-0.03,0.14,0.14,0.1,0.11,0.24,0.09,0.26,0.23,0.18,0.0
0.14,0.14,0.1,0.11,0.24,0.09,0.26,0.23,0.18,0.23,0.0
0.14,0.1,0.11,0.24,0.09,0.26,0.23,0.18,0.23,0.16,0.0
0.1,0.11,0.24,0.09,0.26,0.23,0.18,0.23,0.16,0.21,0.0
0.11,0.24,0.09,0.26,0.23,0.18,0.23,0.16,0.21,0.28,0.0
0.24,0.09,0.26,0.23,0.18,0.23,0.16,0.21,0.28,0.35,0.0
0.09,0.26,0.23,0.18,0.23,0.16,0.21,0.28,0.35,0.24,0.0
0.26,0.23,0.18,0.23,0.16,0.21,0.28,0.35,0.24,0.36,0.0
0.23,0.18,0.23,0.16,0.21,0.28,0.35,0.24,0.36,0.44,0.0
0.18,0.23,0.16,0.21,0.28,0.35,0.24,0.36,0.44,0.29,0.0
0.23,0.16,0.21,0.28,0.35,0.24,0.36,0.44,0.29,0.38,0.0
0.16,0.21,0.28,0.35,0.24,0.36,0.44,0.29,0.38,0.35,0.0
0.21,0.28,0.35,0.24,0.36,0.44,0.29,0.38,0.35,0.38,0.0
0.28,0.35,0.24,0.36,0.44,0.29,0.38,0.35,0.38,0.52,0.0
0.35,0.24,0.36,0.44,0.29,0.38,0.35,0.38,0.52,0.35,0.0
0.24,0.36,0.44,0.29,0.38,0.35,0.38,0.52,0.35,0.4,0.0
0.36,0.44,0.29,0.38,0.35,0.38,0.52,0.35,0.4,0.36,0.0
0.44,0.29,0.38,0.35,0.38,0.52,0.35,0.4,0.36,0.37,0.0
0.29,0.38,0.35,0.38,0.52,0.35,0.4,0.36,0.37,0.4,0.0
0.38,0.35,0.38,0.52,0.35,0.4,0.36,0.37,0.4,0.46,0.0
0.35,0.38,0.52,0.35,0.4,0.36,0.37,0.4,0.46,0.4,0.0
0.38,0.52,0.35,0.4,0.36,0.37,0.4,0.46,0.4,0.42,0.0
0.52,0.35,0.4,0.36,0.37,0.4,0.46,0.4,0.42,0.47,0.0
0.35,0.4,0.36,0.37,0.4,0.46,0.4,0.42,0.47,0.56,0.0
0.4,0.36,0.37,0.4,0.46,0.4,0.42,0.47,0.56,0.48,0.0
0.36,0.37,0.4,0.46,0.4,0.42,0.47,0.56,0.48,0.45,0.0
0.37,0.4,0.46,0.4,0.42,0.47,0.56,0.48,0.45,0.5,0.0
0.4,0.46,0.4,0.42,0.47,0.56,0.48,0.45,0.5,0.54,0.0
0.46,0.4,0.42,0.47,0.56,0.48,0.45,0.5,0.54,0.57,0.0
0.4,0.42,0.47,0.56,0.48,0.45,0.5,0.54,0.57,0.61,0.0
0.42,0.47,0.56,0.48,0.45,0.5,0.54,0.57,0.61,0.46,0.0
0.47,0.56,0.48,0.45,0.5,0.54,0.57,0.61,0.46,0.5,0.0
0.56,0.48,0.45,0.5,0.54,0.57,0.61,0.46,0.5,0.45,0.0
0.48,0.45,0.5,0.54,0.57,0.61,0.46,0.5,0.45,0.6,0.0
0.45,0.5,0.54,0.57,0.61,0.46,0.5,0.45,0.6,0.56,0.0
