v9,v8,v7,v6,v5,v4,v3,v2,v1,v0,Detection
0.0,0.0980028,0.2622125,0.1160762,0.101491,-0.0646062,-0.0331966,-0.123979,-0.0997154,-0.1548212,0.0
0.0980028,0.2622125,0.1160762,0.101491,-0.0646062,-0.0331966,-0.123979,-0.0997154,-0.1548212,-0.1523007,0.0
0.2622125,0.1160762,0.101491,-0.0646062,-0.0331966,-0.123979,-0.0997154,-0.1548212,-0.1523007,-0.171759,0.0
0.1160762,0.101491,-0.0646062,-0.0331966,-0.123979,-0.0997154,-0.1548212,-0.1523007,-0.171759,-0.2520743,0.0
0.101491,-0.0646062,-0.0331966,-0.123979,-0.0997154,-0.1548212,-0.1523007,-0.171759,-0.2520743,-0.204278,0.0
-0.0646062,-0.0331966,-0.123979,-0.0997154,-0.1548212,-0.1523007,-0.171759,-0.2520743,-0.204278,-0.2163566,0.0
-0.0331966,-0.123979,-0.0997154,-0.1548212,-0.1523007,-0.171759,-0.2520743,-0.204278,-0.2163566,-0.1264039,0.0
-0.123979,-0.0997154,-0.1548212,-0.1523007,-0.171759,-0.2520743,-0.204278,-0.2163566,-0.1264039,-0.1920074,0.0
-0.0997154,-0.1548212,-0.1523007,-0.171759,-0.2520743,-0.204278,-0.2163566,-0.1264039,-0.1920074,-0.0064296,0.0
-0.1548212,-0.1523007,-0.171759,-0.2520743,-0.204278,-0.2163566,-0.1264039,-0.1920074,-0.0064296,-0.10356,0.0
-0.1523007,-0.171759,-0.2520743,-0.204278,-0.2163566,-0.1264039,-0.1920074,-0.0064296,-0.10356,-0.0097879,0.0
-0.171759,-0.2520743,-0.204278,-0.2163566,-0.1264039,-0.1920074,-0.0064296,-0.10356,-0.0097879,-0.1398252,0.0
-0.2520743,-0.204278,-0.2163566,-0.1264039,-0.1920074,-0.0064296,-0.10356,-0.0097879,-0.1398252,-0.1687028,0.0
-0.204278,-0.2163566,-0.1264039,-0.1920074,-0.0064296,-0.10356,-0.0097879,-0.1398252,-0.1687028,-0.1017988,0.0
-0.2163566,-0.1264039,-0.1920074,-0.0064296,-0.10356,-0.0097879,-0.1398252,-0.1687028,-0.1017988,-0.0377716,0.0
-0.1264039,-0.1920074,-0.0064296,-0.10356,-0.0097879,-0.1398252,-0.1687028,-0.1017988,-0.0377716,-0.0522335,0.0
-0.1920074,-0.0064296,-0.10356,-0.0097879,-0.1398252,-0.1687028,-0.1017988,-0.0377716,-0.0522335,-0.0573547,0.0
-0.0064296,-0.10356,-0.0097879,-0.1398252,-0.1687028,-0.1017988,-0.0377716,-0.0522335,-0.0573547,-0.0900828,0.0
-0.10356,-0.0097879,-0.1398252,-0.1687028,-0.1017988,-0.0377716,-0.0522335,-0.0573547,-0.0900828,-0.128367,0.0
-0.0097879,-0.1398252,-0.1687028,-0.1017988,-0.0377716,-0.0522335,-0.0573547,-0.0900828,-0.128367,-0.0603105,0.0
-0.1398252,-0.1687028,-0.1017988,-0.0377716,-0.0522335,-0.0573547,-0.0900828,-0.128367,-0.0603105,-0.1190054,0.0
