v9,v8,v7,v6,v5,v4,v3,v2,v1,v0,Detection
0.0,-0.0194046,-0.0380748,-0.017947,-0.0089518,-0.0130259,-0.0219203,-0.0274206,-0.0225803,-0.028825,0.0
-0.0194046,-0.0380748,-0.017947,-0.0089518,-0.0130259,-0.0219203,-0.0274206,-0.0225803,-0.028825,-0.0370146,0.0
-0.0380748,-0.017947,-0.0089518,-0.0130259,-0.0219203,-0.0274206,-0.0225803,-0.028825,-0.0370146,-0.041274,0.0
-0.017947,-0.0089518,-0.0130259,-0.0219203,-0.0274206,-0.0225803,-0.028825,-0.0370146,-0.041274,-0.0328497,0.0
-0.0089518,-0.0130259,-0.0219203,-0.0274206,-0.0225803,-0.028825,-0.0370146,-0.041274,-0.0328497,-0.0448315,0.0
-0.0130259,-0.0219203,-0.0274206,-0.0225803,-0.028825,-0.0370146,-0.041274,-0.0328497,-0.0448315,-0.0391285,0.0
-0.0219203,-0.0274206,-0.0225803,-0.028825,-0.0370146,-0.041274,-0.0328497,-0.0448315,-0.0391285,-0.0451973,0.0
-0.0274206,-0.0225803,-0.028825,-0.0370146,-0.041274,-0.0328497,-0.0448315,-0.0391285,-0.0451973,-0.0291109,0.0
-0.0225803,-0.028825,-0.0370146,-0.041274,-0.0328497,-0.0448315,-0.0391285,-0.0451973,-0.0291109,-0.0142088,0.0
-0.028825,-0.0370146,-0.041274,-0.0328497,-0.0448315,-0.0391285,-0.0451973,-0.0291109,-0.0142088,-0.0189009,0.0
-0.0370146,-0.041274,-0.0328497,-0.0448315,-0.0391285,-0.0451973,-0.0291109,-0.0142088,-0.0189009,-0.0207461,0.0
-0.041274,-0.0328497,-0.0448315,-0.0391285,-0.0451973,-0.0291109,-0.0142088,-0.0189009,-0.0207461,-0.0079201,0.0
-0.0328497,-0.0448315,-0.0391285,-0.0451973,-0.0291109,-0.0142088,-0.0189009,-0.0207461,-0.0079201,0.004727,0.0
-0.0448315,-0.0391285,-0.0451973,-0.0291109,-0.0142088,-0.0189009,-0.0207461,-0.0079201,0.004727,0.0084369,0.0
-0.0391285,-0.0451973,-0.0291109,-0.0142088,-0.0189009,-0.0207461,-0.0079201,0.004727,0.0084369,0.0087321,0.0
-0.0451973,-0.0291109,-0.0142088,-0.0189009,-0.0207461,-0.0079201,0.004727,0.0084369,0.0087321,0.0029122,0.0
-0.0291109,-0.0142088,-0.0189009,-0.0207461,-0.0079201,0.004727,0.0084369,0.0087321,0.0029122,0.0147154,0.0
-0.0142088,-0.0189009,-0.0207461,-0.0079201,0.004727,0.0084369,0.0087321,0.0029122,0.0147154,0.0024328,0.0
-0.0189009,-0.0207461,-0.0079201,0.004727,0.0084369,0.0087321,0.0029122,0.0147154,0.0024328,-0.0012566,0.0
-0.0207461,-0.0079201,0.004727,0.0084369,0.0087321,0.0029122,0.0147154,0.0024328,-0.0012566,-0.0046763,0.0
-0.0079201,0.004727,0.0084369,0.0087321,0.0029122,0.0147154,0.0024328,-0.0012566,-0.0046763,-0.0001451,0.0
0.004727,0.0084369,0.0087321,0.0029122,0.0147154,0.0024328,-0.0012566,-0.0046763,-0.0001451,-0.0060727,0.0
0.0084369,0.0087321,0.0029122,0.0147154,0.0024328,-0.0012566,-0.0046763,-0.0001451,-0.0060727,-0.0057826,0.0
0.0087321,0.0029122,0.0147154,0.0024328,-0.0012566,-0.0046763,-0.0001451,-0.0060727,-0.0057826,-0.0035092,0.0
0.0029122,0.0147154,0.0024328,-0.0012566,-0.0046763,-0.0001451,-0.0060727,-0.0057826,-0.0035092,-0.0027673,0.0
0.0147154,0.0024328,-0.0012566,-0.0046763,-0.0001451,-0.0060727,-0.0057826,-0.0035092,-0.0027673,0.002637,0.0
0.0024328,-0.0012566,-0.0046763,-0.0001451,-0.0060727,-0.0057826,-0.0035092,-0.0027673,0.002637,0.0087484,0.0
-0.0012566,-0.0046763,-0.0001451,-0.0060727,-0.0057826,-0.0035092,-0.0027673,0.002637,0.0087484,0.010529,0.0
-0.0046763,-0.0001451,-0.0060727,-0.0057826,-0.0035092,-0.0027673,0.002637,0.0087484,0.010529,0.0108794,0.0
-0.0001451,-0.0060727,-0.0057826,-0.0035092,-0.0027673,0.002637,0.0087484,0.010529,0.0108794,0.0168831,0.0
-0.0060727,-0.0057826,-0.0035092,-0.0027673,0.002637,0.0087484,0.010529,0.0108794,0.0168831,0.0242552,0.0
